Keyword,Tier,Meaning,Top Primary Themes,Top Sub-Themes,Top_Sources,Sample_Verbatim
Sovereign Ocean Nations,Meaning 1,"legal, cultural, strategic/diplomatic",nan,nan,11,"""AGNES HARM (Fiji), speaking for the Pacific Islands Forum, said   that as large oceanic States, the Forum has always asserted its   guardianship and stewardship of the ocean, with past, present   and future development based on the rights and entitl..."
Sovereign Ocean Nations,Meaning 2,"environmental, strategic/diplomatic",nan,nan,23,"""Reporting that she convened the High-Level Panel on Building   a Sustainable Ocean Economy, together with the President of   Palau, she said the Panel will present ways forward to better   protect oceans in December.""    ""The Bahamas continues to pl..."
Sovereign Ocean Nations,Meaning 3,legal,nan,nan,30,"""I am particularly grateful for the reference in paragraph   81 to the need for coastal States to deposit with the   Secretary-General of the Authority a copy of the charts   or lists of geographical coordinates showing the   outer limit lines of the..."
Ocean Stewards,Meaning 1,"cultural, environmental, political, psychological/social","Marine Ecosystem Health, Means of Implementation","Ocean Stewardship, Innovative Finance Mechanisms (Specific)",2,"""Communities whose traditional knowledge holds keys to   conservation solutions that could help achieve global climate   targets. All while delivering competitive returnsâ€”proving that   doing global good and doing well financially are not mutually..."
Ocean Stewards,Meaning 2,"psychological/social, legal","Marine Ecosystem Health, Means of Implementation","Ocean Stewardship, Maritime Zone Preservation",11,"""AGNES HARM (Fiji), speaking for the Pacific Islands Forum,   said that as large oceanic States, the Forum has always   asserted its guardianship and stewardship of the ocean, with   past, present and future development based on the rights and   enti..."
Ocean Stewards,Meaning 3,"psychological/social, environmental","Marine Ecosystem Health, Means of Implementation","Ocean Stewardship, Marine Protected Area Targets",14,"""We need all nations to work towards a 100% sustainably   managed ocean protecting a minimum of 30% of   global biodiversity by 2030. Ensuring the conservation   and sustainable use of the oceans, seas and marine   resources for sustainable developme..."
Cultural-Historical Identity,Meaning 1,"cultural, psychological/social","Data and Knowledge Management, Identity and Representation",Cultural Preservation,2,"""The Ocean is life. It is biodiversity... It is history, culture,   tradition, creativity, spirituality.""..."
Cultural-Historical Identity,Meaning 2,"cultural, psychological/social, environmental, strategic/diplomatic","Data and Knowledge Management, Identity and Representation",Integrating Indigenous Knowledge,3,"""We have a traditional conservation practice   called the bul it's a practice that we   declare areas um offlimits to harvesting   of certain species to allow nature to   regenerate and replenish this principle   of balance underpins everything that..."
Cultural-Historical Identity,Meaning 3,"political, strategic/diplomatic, psychological/social, cultural","Data and Knowledge Management, Identity and Representation","Ocean Stewardship, Terminology and Framing",19,"""The term â€˜SIDSâ€™ is so limiting! What about â€˜large ocean statesâ€™   instead? - interviewee for this report"". Additionally, ""OECS Member   States, typically categorised as Small Island Developing States (SIDS)   have been urged to make a paradi..."
Climate Vanguard,Meaning 1,"strategic/diplomatic, political","Marine Ecosystem Health, Climate Change and Environmental Vulnerability","Voluntary National Reviews (VNRs), Multidimensional Vulnerability Index (MVI) Adoption","23, 37","""Antigua and Barbuda views the VNR as an important tool   that will allow its development partners to quickly identify   areas that as a country, we need support in as well as align   these areas with their own development priorities and country   wo... | ""We look forward to a satisfactory   conclusion of the work of the high-level   panel, and, in particular, that the   General Assembly may adopt its   MVI proposal, which we hope will be   accepted and used in a consensual   manner both inside and ou..."
Climate Vanguard,Meaning 2,"legal, strategic/diplomatic, political, conceptual/theoretical, psychological/social","Marine Ecosystem Health, Climate Change and Environmental Vulnerability","Terminology and Framing, """"""Large Ocean States"""" Concept""",9,"""The delegate of Fiji, speaking for the Pacific Islands Forum   and addressing â€œSea-level rise in relation to international   lawâ€, recalled its 2021 Declaration on Preserving Maritime   Zones in the Face of Climate Change-Related Sea-Level   Ris..."
Climate Vanguard,Meaning 3,"political, environmental","Marine Ecosystem Health, Climate Change and Environmental Vulnerability","Ocean-Climate Dialogue, Ocean-Climate Interrelationship",14,"""We need all nations to work towards a 100% sustainably   managed ocean protecting a minimum of 30% of global   biodiversity by 2030.""    ""the Pacific has been critical to pushing for this as long as   as well as other members of of the convention an..."
Regional Political Identity (Blue Pacific),Meaning 1,"political, strategic/diplomatic","Climate Change and Environmental Vulnerability, Identity and Representation","Regional Grouping Advocacy, """"""Large Ocean States"""" Concept""","30, 37","""Mr. Kyota (Palau): We would like to begin by associating   ourselves with the statements delivered by Mrs. Jane   Chigiyal, Ambassador of Micronesia, on behalf of the   Pacific small island developing States, and Mr. Aliâ€™ioaiga   Feturi Elisaia, A... | ""KEREETA WHYTE (Barbados), speaking on behalf of the Caribbean Community   (CARICOM), and associating herself with the Group of 77 and China, CELAC,   and the Alliance of Small Island States, said the post-2015 development   agenda must be people-cen..."
Regional Political Identity (Blue Pacific),Meaning 2,"legal, strategic/diplomatic, political, psychological/social","Climate Change and Environmental Vulnerability, Identity and Representation","Maritime Zone Preservation, """"""Large Ocean States"""" Concept""",11,"""The delegate of Fiji, speaking for the Pacific Islands Forum and   addressing â€œSea-level rise in relation to international lawâ€, recalled   its 2021 Declaration on Preserving Maritime Zones in the   Face of Climate Change-Related Sea-Level Rise...."
Regional Political Identity (Blue Pacific),Meaning 3,"conceptual/theoretical, psychological/social, strategic/diplomatic","Climate Change and Environmental Vulnerability, Identity and Representation","""""""Large Ocean States"""" Concept"", Regional Grouping Advocacy",23,"""As â€˜large ocean statesâ€™, Pacific Island States see themselves   in relatively powerful positions with this new development   focus. There is a lot of interest being shown by new and   traditional global partners and international and regional..."
Positive Sovereignty,Meaning 1,"legal, political, environmental, strategic/diplomatic","Identity and Representation, Economic Development","Maritime Zone Preservation, Sea-Level Rise and International Law",11,"""AGNES HARM (Fiji), speaking for the Pacific Islands Forum, said   that as large oceanic States, the Forum has always asserted its   guardianship and stewardship of the ocean, with past, present   and future development based on the rights and entitl..."
Positive Sovereignty,Meaning 2,"cultural, political, environmental, strategic/diplomatic","Identity and Representation, Economic Development","Terminology and Framing, """"""Large Ocean States"""" Concept""",22,"""OECS Member States, typically categorised as Small Island   Developing States (SIDS) have been urged to make a paradigm   shift to large ocean states. This challenge has come from   Hon. Camillo Gonsalves â€“ Minister of Finance, Economic   Planning..."
Positive Sovereignty,Meaning 3,"political, strategic/diplomatic, conceptual/theoretical","Identity and Representation, Economic Development","Multidimensional Vulnerability Index (MVI) Development, Multidimensional Vulnerability Index (MVI) Adoption",23,"""The MVI... would allow those who need to take the final decision on these issues, make   those decisions in an informed manner. ...when you actually look at the data, there are lots   of LDCs as well that come out as being highly vulnerable as well..."
Multidimensional Vulnerability Index (MVI),Meaning 1,"political, strategic/diplomatic","Cross-cutting Issues, External Shocks","Multidimensional Vulnerability Index (MVI) Adoption, Use","1, 7","""We look forward to the intergovernmental   process on the final report of the   High-level Panel on the Development of a   Multidimensional Vulnerability Index for   Small Island Developing States, which can   also provide a basis for moving forward... | ""process to establish a multi-dimensional   vulnerability index. I'm really sorry, there's   another acronym, the MVI, and the purpose of   the MVI is essentially to find a new way to   unlock sources of financing that countries   which perhaps can't..."
